"Issue Id","Parent Id","Issue Type","Summary","Description","Acceptance Criteria","Status","Priority","Labels"
"171","166","Sub-task","US-10.5: Add navigation to item edit/detail","Add navigation to item edit/detail","","To Do","High","itinerary planning mvp"
"172","166","Sub-task","US-10.6: Add navigation to linked event detail","Add navigation to linked event detail","","To Do","High","itinerary planning mvp"
"173","166","Sub-task","US-10.7: Implement empty state for no items","Implement empty state for no items","","To Do","High","itinerary planning mvp"
"174","166","Sub-task","US-10.8: Add pull-to-refresh functionality","Add pull-to-refresh functionality","","To Do","High","itinerary planning mvp"
"175","166","Sub-task","US-10.9: Write unit tests for ItineraryDetail","Write unit tests for ItineraryDetail","","To Do","High","itinerary planning mvp"
"176","","Story","[BE] View Itinerary Detail API","As a backend service, I need to provide a comprehensive itinerary detail query so that users can view their full schedule.","- getItinerary query accepts itinerary ID
- Returns full itinerary with all items
- Items ordered by date/time/position
- Event relationships resolved for linked items
- Authorization: user can only view own itineraries
- Query optimized (no N+1 queries)","To Do","High","itinerary planning backend mvp"
"177","176","Sub-task","US-10-BE.1: Implement/enhance getItinerary query by ID","Implement/enhance getItinerary query by ID","","To Do","High","itinerary planning backend mvp"
"178","176","Sub-task","US-10-BE.2: Order items by date, start_time, position","Order items by date, start_time, position","","To Do","High","itinerary planning backend mvp"
"179","176","Sub-task","US-10-BE.3: Prefetch Event relationships (select_related)","Prefetch Event relationships (select_related)","","To Do","High","itinerary planning backend mvp"
"180","176","Sub-task","US-10-BE.4: Add authorization check (user owns itinerary)","Add authorization check (user owns itinerary)","","To Do","High","itinerary planning backend mvp"
"181","176","Sub-task","US-10-BE.5: Handle non-existent itinerary ID","Handle non-existent itinerary ID","","To Do","High","itinerary planning backend mvp"
"182","176","Sub-task","US-10-BE.6: Add computed fields (duration, is_event_available)","Add computed fields (duration, is_event_available)","","To Do","High","itinerary planning backend mvp"
"183","176","Sub-task","US-10-BE.7: Write pytest tests for getItinerary query","Write pytest tests for getItinerary query","","To Do","High","itinerary planning backend mvp"
"184","","Story","[FE] Add Expense Entry","As a user, I want to log spending so I can track my adventure budget.

This ticket covers the frontend implementation of expense entry, allowing users to log spending associated with their trips or itineraries.","- User can access add expense form
- Form captures: amount (required), description, category, date
- Form validates required fields and amount format
- Expense is stored via API
- Success feedback after adding
- Loading state during submission","To Do","High","budget expenses mvp"
"185","184","Sub-task","US-11.1: Define Expense type/interface in graphql/types.ts","Define Expense type/interface in graphql/types.ts","","To Do","High","budget expenses mvp"
"186","184","Sub-task","US-11.2: Create ADD_EXPENSE mutation","Create ADD_EXPENSE mutation","","To Do","High","budget expenses mvp"
"187","184","Sub-task","US-11.3: Generate types with graphql-codegen","Generate types with graphql-codegen","","To Do","High","budget expenses mvp"
"188","184","Sub-task","US-11.4: Create useAddExpense hook","Create useAddExpense hook","","To Do","High","budget expenses mvp"
"189","184","Sub-task","US-11.5: Create AddExpense form/modal component","Create AddExpense form/modal component","","To Do","High","budget expenses mvp"
"190","184","Sub-task","US-11.6: Implement amount input with currency formatting","Implement amount input with currency formatting","","To Do","High","budget expenses mvp"
"191","184","Sub-task","US-11.7: Create category picker (predefined categories)","Create category picker (predefined categories)","","To Do","High","budget expenses mvp"
"192","184","Sub-task","US-11.8: Add date picker for expense date","Add date picker for expense date","","To Do","High","budget expenses mvp"
"193","184","Sub-task","US-11.9: Add optional itinerary link selector","Add optional itinerary link selector","","To Do","High","budget expenses mvp"
"194","184","Sub-task","US-11.10: Implement form validation","Implement form validation","","To Do","High","budget expenses mvp"
"195","184","Sub-task","US-11.11: Write unit tests","Write unit tests","","To Do","High","budget expenses mvp"
"196","","Story","[BE] Add Expense Entry API","As a backend service, I need to provide an API endpoint for creating expense entries so that users can track their adventure spending.","- Expense model created with required fields
- addExpense mutation creates expense for user
- Amount validated (positive, proper format)
- Category validated against allowed values
- Optional itinerary link validated
- Requires authentication","To Do","High","budget expenses backend mvp"
"197","196","Sub-task","US-11-BE.1: Create Expense model in apps/core/ or apps/budgets/","Create Expense model in apps/core/ or apps/budgets/","","To Do","High","budget expenses backend mvp"
"198","196","Sub-task","US-11-BE.2: Define ExpenseCategory choices/enum","Define ExpenseCategory choices/enum","","To Do","High","budget expenses backend mvp"
"199","196","Sub-task","US-11-BE.3: Create and run migrations","Create and run migrations","","To Do","High","budget expenses backend mvp"
"200","196","Sub-task","US-11-BE.4: Register Expense in Django admin","Register Expense in Django admin","","To Do","High","budget expenses backend mvp"
"201","196","Sub-task","US-11-BE.5: Create ExpenseType GraphQL type","Create ExpenseType GraphQL type","","To Do","High","budget expenses backend mvp"
"202","196","Sub-task","US-11-BE.6: Create addExpense mutation","Create addExpense mutation","","To Do","High","budget expenses backend mvp"
"203","196","Sub-task","US-11-BE.7: Add input validation (amount, category)","Add input validation (amount, category)","","To Do","High","budget expenses backend mvp"
"204","196","Sub-task","US-11-BE.8: Validate itinerary ownership if linked","Validate itinerary ownership if linked","","To Do","High","budget expenses backend mvp"
"205","196","Sub-task","US-11-BE.9: Write pytest unit tests","Write pytest unit tests","","To Do","High","budget expenses backend mvp"
"206","","Story","[FE] Categorize Expenses","As a user, I want to categorize expenses so I can understand spending patterns.

This ticket covers the frontend implementation of expense categorization, building on US-11's category picker.","- Category is selectable when adding/editing expense
- Category is displayed in expense list view
- Each expense shows its category clearly
- Category has visual indicator (icon or color)
- Categories are consistent across the app","To Do","Medium","budget expenses mvp"
"207","206","Sub-task","US-12.1: Define expense category constants with icons/colors","Define expense category constants with icons/colors","","To Do","Medium","budget expenses mvp"
"208","206","Sub-task","US-12.2: Create CategoryBadge/CategoryChip component","Create CategoryBadge/CategoryChip component","","To Do","Medium","budget expenses mvp"
"209","206","Sub-task","US-12.3: Integrate category picker in AddExpense form (if not done in US-11)","Integrate category picker in AddExpense form (if not done in US-11)","","To Do","Medium","budget expenses mvp"
"210","206","Sub-task","US-12.4: Display category in ExpenseCard/ExpenseListItem","Display category in ExpenseCard/ExpenseListItem","","To Do","Medium","budget expenses mvp"
"211","206","Sub-task","US-12.5: Add category icons/colors mapping","Add category icons/colors mapping","","To Do","Medium","budget expenses mvp"
"212","206","Sub-task","US-12.6: Implement category filter in expense list (optional)","Implement category filter in expense list (optional)","","To Do","Medium","budget expenses mvp"
"213","206","Sub-task","US-12.7: Add category to expense detail view","Add category to expense detail view","","To Do","Medium","budget expenses mvp"
"214","206","Sub-task","US-12.8: Write unit tests for category display","Write unit tests for category display","","To Do","Medium","budget expenses mvp"
"215","","Story","[BE] Categorize Expenses API","As a backend service, I need to support expense categorization so that users can organize and analyze their spending.","- ExpenseCategory enum defined with all values
- Category field on Expense model uses enum
- getExpenses query can filter by category
- Category included in all expense responses
- Invalid category values rejected","To Do","Medium","budget expenses backend mvp"
"216","215","Sub-task","US-12-BE.1: Define ExpenseCategory enum (if not done in US-11-BE)","Define ExpenseCategory enum (if not done in US-11-BE)","","To Do","Medium","budget expenses backend mvp"
"217","215","Sub-task","US-12-BE.2: Ensure category field uses enum choices","Ensure category field uses enum choices","","To Do","Medium","budget expenses backend mvp"
"218","215","Sub-task","US-12-BE.3: Add category filter to getExpenses query","Add category filter to getExpenses query","","To Do","Medium","budget expenses backend mvp"
"219","215","Sub-task","US-12-BE.4: Validate category in addExpense/updateExpense","Validate category in addExpense/updateExpense","","To Do","Medium","budget expenses backend mvp"
"220","215","Sub-task","US-12-BE.5: Include category in ExpenseType","Include category in ExpenseType","","To Do","Medium","budget expenses backend mvp"
"221","215","Sub-task","US-12-BE.6: Add getExpenseCategories query (returns all options)","Add getExpenseCategories query (returns all options)","","To Do","Medium","budget expenses backend mvp"
"222","215","Sub-task","US-12-BE.7: Write pytest tests for category functionality","Write pytest tests for category functionality","","To Do","Medium","budget expenses backend mvp"
"223","","Task","[FE] Remove User Bucket/Event Creation Functionality","Technical debt ticket to remove the existing bucket and item creation functionality. Users will no longer be able to create buckets or events - these will be admin-managed with predefined categories.","- AddBucket component removed
- AddBucketItem component removed
- UpdateBucket component removed
- Bucket creation modals removed from UI
- GraphQL creation mutations removed or deprecated
- No user-facing bucket/event creation entry points remain
- App builds and runs without errors after removal","To Do","High","tech-debt cleanup mvp"
"224","223","Sub-task","TECH-01.1: Remove AddBucket.tsx and related imports","Remove AddBucket.tsx and related imports","","To Do","High","tech-debt cleanup mvp"
"225","223","Sub-task","TECH-01.2: Remove AddBucketItem.tsx and related imports","Remove AddBucketItem.tsx and related imports","","To Do","High","tech-debt cleanup mvp"
"226","223","Sub-task","TECH-01.3: Remove UpdateBucket.tsx and related imports","Remove UpdateBucket.tsx and related imports","","To Do","High","tech-debt cleanup mvp"
"227","223","Sub-task","TECH-01.4: Remove bucket creation modals from Buckets.tsx","Remove bucket creation modals from Buckets.tsx","","To Do","High","tech-debt cleanup mvp"
"228","223","Sub-task","TECH-01.5: Clean up unused GraphQL mutations (ADD_BUCKET_CATEGORY, ADD_BUCKET_ITEM)","Clean up unused GraphQL mutations (ADD_BUCKET_CATEGORY, ADD_BUCKET_ITEM)","","To Do","High","tech-debt cleanup mvp"
"229","223","Sub-task","TECH-01.6: Remove unused types/interfaces related to bucket creation","Remove unused types/interfaces related to bucket creation","","To Do","High","tech-debt cleanup mvp"
"230","223","Sub-task","TECH-01.7: Update navigation to remove creation routes","Update navigation to remove creation routes","","To Do","High","tech-debt cleanup mvp"
"231","223","Sub-task","TECH-01.8: Run build and verify no broken imports","Run build and verify no broken imports","","To Do","High","tech-debt cleanup mvp"
"232","223","Sub-task","TECH-01.9: Update/remove related unit tests","Update/remove related unit tests","","To Do","High","tech-debt cleanup mvp"
"233","","Story","[FE] View Budget Summary","As a user, I want to see total spend so I can monitor my budget.

This ticket covers the frontend implementation of a budget summary view, displaying total spending and key metrics.","- Total spend amount calculated and displayed
- Summary updates when expenses are added/edited/deleted
- Summary section is visible on expenses screen
- Loading state while calculating
- Handles empty state (no expenses)","To Do","High","budget expenses analytics mvp"
"234","233","Sub-task","US-13.1: Create GET_EXPENSE_SUMMARY query (or compute client-side)","Create GET_EXPENSE_SUMMARY query (or compute client-side)","","To Do","High","budget expenses analytics mvp"
"235","233","Sub-task","US-13.2: Create useExpenseSummary hook","Create useExpenseSummary hook","","To Do","High","budget expenses analytics mvp"
"236","233","Sub-task","US-13.3: Create BudgetSummary component (components/Budget/BudgetSummary.tsx)","Create BudgetSummary component (components/Budget/BudgetSummary.tsx)","","To Do","High","budget expenses analytics mvp"
"237","233","Sub-task","US-13.4: Display total spend amount with currency formatting","Display total spend amount with currency formatting","","To Do","High","budget expenses analytics mvp"
"238","233","Sub-task","US-13.5: Display expense count","Display expense count","","To Do","High","budget expenses analytics mvp"
"239","233","Sub-task","US-13.6: Add category breakdown display (optional)","Add category breakdown display (optional)","","To Do","High","budget expenses analytics mvp"
"240","233","Sub-task","US-13.7: Integrate BudgetSummary into Expenses screen","Integrate BudgetSummary into Expenses screen","","To Do","High","budget expenses analytics mvp"
"241","233","Sub-task","US-13.8: Ensure Apollo cache updates trigger re-render","Ensure Apollo cache updates trigger re-render","","To Do","High","budget expenses analytics mvp"
"242","233","Sub-task","US-13.9: Add loading and empty states","Add loading and empty states","","To Do","High","budget expenses analytics mvp"
"243","233","Sub-task","US-13.10: Write unit tests for BudgetSummary","Write unit tests for BudgetSummary","","To Do","High","budget expenses analytics mvp"
"244","","Story","[BE] Budget Summary API","As a backend service, I need to provide an API endpoint for expense summary/aggregation so that users can view their total spending.","- getExpenseSummary query returns total spend
- Summary includes expense count
- Summary includes breakdown by category
- Summary updates reflect latest expense data
- Optional date range filter supported
- Requires authentication","To Do","High","budget expenses analytics backend mvp"
"245","244","Sub-task","US-13-BE.1: Create getExpenseSummary query in GraphQL schema","Create getExpenseSummary query in GraphQL schema","","To Do","High","budget expenses analytics backend mvp"
"246","244","Sub-task","US-13-BE.2: Create ExpenseSummaryType GraphQL type","Create ExpenseSummaryType GraphQL type","","To Do","High","budget expenses analytics backend mvp"
"247","244","Sub-task","US-13-BE.3: Implement database aggregation (Sum, Count)","Implement database aggregation (Sum, Count)","","To Do","High","budget expenses analytics backend mvp"
"248","244","Sub-task","US-13-BE.4: Add category breakdown aggregation","Add category breakdown aggregation","","To Do","High","budget expenses analytics backend mvp"
"249","244","Sub-task","US-13-BE.5: Add optional date range filter (start_date, end_date)","Add optional date range filter (start_date, end_date)","","To Do","High","budget expenses analytics backend mvp"
"250","244","Sub-task","US-13-BE.6: Add optional itinerary filter","Add optional itinerary filter","","To Do","High","budget expenses analytics backend mvp"
"251","244","Sub-task","US-13-BE.7: Optimize query for performance","Optimize query for performance","","To Do","High","budget expenses analytics backend mvp"
"252","244","Sub-task","US-13-BE.8: Write pytest unit tests","Write pytest unit tests","","To Do","High","budget expenses analytics backend mvp"
"253","","Story","[FE] App Navigation","As a user, I want to navigate between main sections so I can use the app effectively.

This ticket covers the frontend implementation of the main app navigation, providing access to all core features via a bottom tab bar.","- Navigation bar visible on main screens
- User can navigate between: Events, Saved, Itinerary, Budget
- Active tab has visible indicator (color/icon change)
- Navigation persists across app usage
- Smooth transitions between sections","To Do","High","navigation ux mvp"
"254","253","Sub-task","US-14.1: Set up bottom tab navigator (React Navigation)","Set up bottom tab navigator (React Navigation)","","To Do","High","navigation ux mvp"
"255","253","Sub-task","US-14.2: Create tab bar icons for each section","Create tab bar icons for each section","","To Do","High","navigation ux mvp"
"256","253","Sub-task","US-14.3: Configure Events tab to EventList screen","Configure Events tab to EventList screen","","To Do","High","navigation ux mvp"
"257","253","Sub-task","US-14.4: Configure Saved tab to SavedEvents screen","Configure Saved tab to SavedEvents screen","","To Do","High","navigation ux mvp"
"258","253","Sub-task","US-14.5: Configure Itinerary tab to ItineraryList screen","Configure Itinerary tab to ItineraryList screen","","To Do","High","navigation ux mvp"
"259","253","Sub-task","US-14.6: Configure Budget tab to Expenses screen","Configure Budget tab to Expenses screen","","To Do","High","navigation ux mvp"
"260","253","Sub-task","US-14.7: Implement active state styling (color/icon variant)","Implement active state styling (color/icon variant)","","To Do","High","navigation ux mvp"
"261","253","Sub-task","US-14.8: Add tab bar labels","Add tab bar labels","","To Do","High","navigation ux mvp"
"262","253","Sub-task","US-14.9: Handle nested navigation within each tab","Handle nested navigation within each tab","","To Do","High","navigation ux mvp"
"263","253","Sub-task","US-14.10: Write navigation tests","Write navigation tests","","To Do","High","navigation ux mvp"
"264","","Story","[FE] Loading & Error Handling","As a user, I want feedback when content loads or fails so the app feels reliable.

This ticket covers the implementation of consistent loading indicators, error messaging, and empty state patterns across the app.","- Loading indicators shown during data fetch
- Error messages displayed when requests fail
- Empty state messaging when no data exists
- Retry option available on errors
- Consistent styling across app","To Do","High","ux feedback mvp"
"265","264","Sub-task","US-15.1: Create LoadingSpinner component (components/Feedback/LoadingSpinner.tsx)","Create LoadingSpinner component (components/Feedback/LoadingSpinner.tsx)","","To Do","High","ux feedback mvp"
"266","264","Sub-task","US-15.2: Create LoadingSkeleton component for lists/cards","Create LoadingSkeleton component for lists/cards","","To Do","High","ux feedback mvp"
"267","264","Sub-task","US-15.3: Create ErrorMessage component with retry button","Create ErrorMessage component with retry button","","To Do","High","ux feedback mvp"
"268","264","Sub-task","US-15.4: Create EmptyState component with icon/message/CTA","Create EmptyState component with icon/message/CTA","","To Do","High","ux feedback mvp"
"269","264","Sub-task","US-15.5: Implement React Error Boundary for crash handling","Implement React Error Boundary for crash handling","","To Do","High","ux feedback mvp"
"270","264","Sub-task","US-15.6: Integrate loading states into existing screens","Integrate loading states into existing screens","","To Do","High","ux feedback mvp"
"271","264","Sub-task","US-15.7: Integrate error handling into existing screens","Integrate error handling into existing screens","","To Do","High","ux feedback mvp"
"272","264","Sub-task","US-15.8: Integrate empty states into existing screens","Integrate empty states into existing screens","","To Do","High","ux feedback mvp"
"273","264","Sub-task","US-15.9: Add error logging/reporting (optional)","Add error logging/reporting (optional)","","To Do","High","ux feedback mvp"
"274","264","Sub-task","US-15.10: Write unit tests for feedback components","Write unit tests for feedback components","","To Do","High","ux feedback mvp"
"275","","Story","[BE] Admin Create Event","As an admin, I want to create events so that users can discover activities through the app.

This ticket covers the backend implementation of admin event creation via Django Admin and optional GraphQL mutation.","- Admin can access event creation form (Django Admin)
- Required fields: title, date, location, category, description
- Validation applied (required fields, date logic)
- Event saved to database
- Event appears in user listings (getEvents query)
- Only staff/admin can create events","To Do","High","admin events backend mvp"
"276","275","Sub-task","US-16.1: Enhance Event model admin registration","Enhance Event model admin registration","","To Do","High","admin events backend mvp"
"277","275","Sub-task","US-16.2: Configure admin form with required field validation","Configure admin form with required field validation","","To Do","High","admin events backend mvp"
"278","275","Sub-task","US-16.3: Add admin list display (title, date, category, is_active)","Add admin list display (title, date, category, is_active)","","To Do","High","admin events backend mvp"
"279","275","Sub-task","US-16.4: Add admin filters (category, is_active, date)","Add admin filters (category, is_active, date)","","To Do","High","admin events backend mvp"
"280","275","Sub-task","US-16.5: Add admin search (title, description, location)","Add admin search (title, description, location)","","To Do","High","admin events backend mvp"
"281","275","Sub-task","US-16.6: Implement image upload in admin (optional)","Implement image upload in admin (optional)","","To Do","High","admin events backend mvp"
"282","275","Sub-task","US-16.7: Add createEvent mutation (admin-only, optional)","Add createEvent mutation (admin-only, optional)","","To Do","High","admin events backend mvp"
"283","275","Sub-task","US-16.8: Verify events appear in getEvents query","Verify events appear in getEvents query","","To Do","High","admin events backend mvp"
"284","275","Sub-task","US-16.9: Write pytest tests for admin event creation","Write pytest tests for admin event creation","","To Do","High","admin events backend mvp"
"285","","Story","[BE] Admin Edit Event","As an admin, I want to update event details so information stays accurate.

This ticket covers the backend implementation of admin event editing via Django Admin.","- Admin can select event from list
- All editable fields displayed in form
- Changes saved successfully to database
- Updated data reflected in getEvents query
- Validation applied on save
- Change history preserved","To Do","High","admin events backend mvp"
"286","285","Sub-task","US-17.1: Verify admin change view configured for Event","Verify admin change view configured for Event","","To Do","High","admin events backend mvp"
"287","285","Sub-task","US-17.2: Ensure all fields editable in admin form","Ensure all fields editable in admin form","","To Do","High","admin events backend mvp"
"288","285","Sub-task","US-17.3: Add fieldsets for organized form layout (optional)","Add fieldsets for organized form layout (optional)","","To Do","High","admin events backend mvp"
"289","285","Sub-task","US-17.4: Configure readonly fields (id, created_at)","Configure readonly fields (id, created_at)","","To Do","High","admin events backend mvp"
"290","285","Sub-task","US-17.5: Add updateEvent mutation (admin-only, optional)","Add updateEvent mutation (admin-only, optional)","","To Do","High","admin events backend mvp"
"291","285","Sub-task","US-17.6: Verify changes appear in getEvents query","Verify changes appear in getEvents query","","To Do","High","admin events backend mvp"
"292","285","Sub-task","US-17.7: Add admin action for bulk activate/deactivate","Add admin action for bulk activate/deactivate","","To Do","High","admin events backend mvp"
"293","285","Sub-task","US-17.8: Write pytest tests for event update","Write pytest tests for event update","","To Do","High","admin events backend mvp"
"294","","Story","[BE] Admin Delete Event","As an admin, I want to remove events so outdated content isn't shown.

This ticket covers the backend implementation of admin event deletion via Django Admin, with soft-delete option.","- Admin can delete event from admin interface
- Confirmation step required before deletion
- Event removed from getEvents query (user listings)
- Related SavedEvents/ItineraryItems handled gracefully
- Error handling for deletion failures
- Option for soft delete (deactivate) vs hard delete","To Do","High","admin events backend mvp"
"295","294","Sub-task","US-18.1: Configure Django Admin delete action with confirmation","Configure Django Admin delete action with confirmation","","To Do","High","admin events backend mvp"
"296","294","Sub-task","US-18.2: Implement soft delete action (set is_active=False)","Implement soft delete action (set is_active=False)","","To Do","High","admin events backend mvp"
"297","294","Sub-task","US-18.3: Add bulk delete/deactivate action","Add bulk delete/deactivate action","","To Do","High","admin events backend mvp"
"298","294","Sub-task","US-18.4: Handle cascade for SavedEvent references","Handle cascade for SavedEvent references","","To Do","High","admin events backend mvp"
"299","294","Sub-task","US-18.5: Handle cascade for ItineraryItem references","Handle cascade for ItineraryItem references","","To Do","High","admin events backend mvp"
"300","294","Sub-task","US-18.6: Add deleteEvent mutation (admin-only, optional)","Add deleteEvent mutation (admin-only, optional)","","To Do","High","admin events backend mvp"
"301","294","Sub-task","US-18.7: Ensure deleted events excluded from getEvents","Ensure deleted events excluded from getEvents","","To Do","High","admin events backend mvp"
"302","294","Sub-task","US-18.8: Add admin filter for deleted/inactive events","Add admin filter for deleted/inactive events","","To Do","High","admin events backend mvp"
"303","294","Sub-task","US-18.9: Implement restore action for soft-deleted events","Implement restore action for soft-deleted events","","To Do","High","admin events backend mvp"
"304","294","Sub-task","US-18.10: Write pytest tests for event deletion","Write pytest tests for event deletion","","To Do","High","admin events backend mvp"
"305","","Story","[FE] Event Recommendations","As a user, I want to receive event recommendations based on my saved events or categories so I can discover relevant activities.

This ticket covers the frontend implementation of personalized event recommendations.","- Recommendations section visible on Events screen
- Displays personalized event suggestions
- Shows recommendation reason (e.g., 'Because you saved...')
- User can tap to view event details
- User can save recommended events
- Empty state for new users (shows popular instead)
- Loading state during fetch","To Do","High","recommendations events personalization mvp"
"306","305","Sub-task","US-19.1: Create GET_RECOMMENDATIONS query in graphql/queries.ts","Create GET_RECOMMENDATIONS query in graphql/queries.ts","","To Do","High","recommendations events personalization mvp"
"307","305","Sub-task","US-19.2: Define RecommendationType in graphql/types.ts","Define RecommendationType in graphql/types.ts","","To Do","High","recommendations events personalization mvp"
"308","305","Sub-task","US-19.3: Generate types with graphql-codegen","Generate types with graphql-codegen","","To Do","High","recommendations events personalization mvp"
"309","305","Sub-task","US-19.4: Create useRecommendations hook","Create useRecommendations hook","","To Do","High","recommendations events personalization mvp"
"310","305","Sub-task","US-19.5: Create RecommendationsCarousel component","Create RecommendationsCarousel component","","To Do","High","recommendations events personalization mvp"
"311","305","Sub-task","US-19.6: Create RecommendationCard component (with reason label)","Create RecommendationCard component (with reason label)","","To Do","High","recommendations events personalization mvp"
"312","305","Sub-task","US-19.7: Integrate recommendations into Events/Home screen","Integrate recommendations into Events/Home screen","","To Do","High","recommendations events personalization mvp"
"313","305","Sub-task","US-19.8: Display recommendation reason/context","Display recommendation reason/context","","To Do","High","recommendations events personalization mvp"
"314","305","Sub-task","US-19.9: Handle empty state (show popular events)","Handle empty state (show popular events)","","To Do","High","recommendations events personalization mvp"
"315","305","Sub-task","US-19.10: Handle loading state (skeleton cards)","Handle loading state (skeleton cards)","","To Do","High","recommendations events personalization mvp"
"316","305","Sub-task","US-19.11: Add 'See All' navigation (optional)","Add 'See All' navigation (optional)","","To Do","High","recommendations events personalization mvp"
"317","305","Sub-task","US-19.12: Write unit tests for recommendation components","Write unit tests for recommendation components","","To Do","High","recommendations events personalization mvp"
"318","","Story","[BE] Event Recommendations API","As a backend service, I need to provide personalized event recommendations so users can discover relevant activities.

This ticket covers the backend implementation of a recommendation engine using simple ML techniques suitable for MVP.","- getRecommendations query returns personalized events
- Recommendations based on saved events (content-based)
- Recommendations based on similar users (collaborative)
- Popular events included for diversity
- Already-saved events excluded
- Recommendation reason/source included in response
- Cold-start handling for new users
- Requires authentication","To Do","High","recommendations events personalization ml backend mvp"
"319","318","Sub-task","US-19-BE.1: Create getRecommendations query in GraphQL schema","Create getRecommendations query in GraphQL schema","","To Do","High","recommendations events personalization ml backend mvp"
"320","318","Sub-task","US-19-BE.2: Create RecommendationType with event + reason fields","Create RecommendationType with event + reason fields","","To Do","High","recommendations events personalization ml backend mvp"
"321","318","Sub-task","US-19-BE.3: Implement content-based filtering (same category as saves)","Implement content-based filtering (same category as saves)","","To Do","High","recommendations events personalization ml backend mvp"
"322","318","Sub-task","US-19-BE.4: Implement collaborative filtering (users with similar saves)","Implement collaborative filtering (users with similar saves)","","To Do","High","recommendations events personalization ml backend mvp"
"323","318","Sub-task","US-19-BE.5: Implement popularity scoring (save count)","Implement popularity scoring (save count)","","To Do","High","recommendations events personalization ml backend mvp"
"324","318","Sub-task","US-19-BE.6: Combine scores with configurable weights","Combine scores with configurable weights","","To Do","High","recommendations events personalization ml backend mvp"
"325","318","Sub-task","US-19-BE.7: Exclude already-saved events from results","Exclude already-saved events from results","","To Do","High","recommendations events personalization ml backend mvp"
"326","318","Sub-task","US-19-BE.8: Add recommendation reason to each result","Add recommendation reason to each result","","To Do","High","recommendations events personalization ml backend mvp"
"327","318","Sub-task","US-19-BE.9: Implement cold-start fallback (popular + new events)","Implement cold-start fallback (popular + new events)","","To Do","High","recommendations events personalization ml backend mvp"
"328","318","Sub-task","US-19-BE.10: Add caching layer for performance (Redis/in-memory)","Add caching layer for performance (Redis/in-memory)","","To Do","High","recommendations events personalization ml backend mvp"
"329","318","Sub-task","US-19-BE.11: Add limit parameter for pagination","Add limit parameter for pagination","","To Do","High","recommendations events personalization ml backend mvp"
"330","318","Sub-task","US-19-BE.12: Write pytest tests for recommendation logic","Write pytest tests for recommendation logic","","To Do","High","recommendations events personalization ml backend mvp"
"331","","Task","[INFRA] Continuous Integration Pipeline","As a developer, I want automated builds and checks on every commit so that code quality issues are detected early.

This ticket covers setting up CI/CD pipelines for both the React Native frontend and Django backend using GitHub Actions.","- Pipeline triggers on pull request to main
- Pipeline triggers on push to main branch
- Dependencies install successfully (npm/pip)
- Lint checks run and report errors
- Type checks run (TypeScript/Python)
- Unit tests execute and report results
- Build step completes successfully
- Pipeline fails fast on any error
- Status visible on pull request
- Branch protection requires passing CI","To Do","High","ci-cd infrastructure devops mvp"
"332","331","Sub-task","US-20.1: Create .github/workflows/ directory structure","Create .github/workflows/ directory structure","","To Do","High","ci-cd infrastructure devops mvp"
"333","331","Sub-task","US-20.2: Create frontend CI workflow (frontend-ci.yml)","Create frontend CI workflow (frontend-ci.yml)","","To Do","High","ci-cd infrastructure devops mvp"
"334","331","Sub-task","US-20.3: Create backend CI workflow (backend-ci.yml)","Create backend CI workflow (backend-ci.yml)","","To Do","High","ci-cd infrastructure devops mvp"
"335","331","Sub-task","US-20.4: Configure PR and push triggers","Configure PR and push triggers","","To Do","High","ci-cd infrastructure devops mvp"
"336","331","Sub-task","US-20.5: Add dependency caching (node_modules, pip)","Add dependency caching (node_modules, pip)","","To Do","High","ci-cd infrastructure devops mvp"
"337","331","Sub-task","US-20.6: Add ESLint job for frontend","Add ESLint job for frontend","","To Do","High","ci-cd infrastructure devops mvp"
"338","331","Sub-task","US-20.7: Add TypeScript type-check job","Add TypeScript type-check job","","To Do","High","ci-cd infrastructure devops mvp"
"339","331","Sub-task","US-20.8: Add Jest test job for frontend","Add Jest test job for frontend","","To Do","High","ci-cd infrastructure devops mvp"
"340","331","Sub-task","US-20.9: Add flake8/ruff lint job for backend","Add flake8/ruff lint job for backend","","To Do","High","ci-cd infrastructure devops mvp"
"341","331","Sub-task","US-20.10: Add pytest job for backend","Add pytest job for backend","","To Do","High","ci-cd infrastructure devops mvp"
"342","331","Sub-task","US-20.11: Add Expo build check","Add Expo build check","","To Do","High","ci-cd infrastructure devops mvp"
"343","331","Sub-task","US-20.12: Configure branch protection rules","Configure branch protection rules","","To Do","High","ci-cd infrastructure devops mvp"
"344","331","Sub-task","US-20.13: Add status badges to README","Add status badges to README","","To Do","High","ci-cd infrastructure devops mvp"
"345","331","Sub-task","US-20.14: Document CI pipeline in DEVELOPMENT_BUILD_GUIDE.md","Document CI pipeline in DEVELOPMENT_BUILD_GUIDE.md","","To Do","High","ci-cd infrastructure devops mvp"
"346","","Task","[INFRA] Automated Linting & Formatting","As a developer, I want linting and formatting checks in CI so code remains consistent.

This ticket covers configuring linting and formatting tools for both frontend and backend.","- ESLint runs in CI pipeline
- Prettier format check runs in CI
- Python linter (Ruff/flake8) runs in CI
- Python formatter check (Black/Ruff) runs in CI
- Lint/format failures block PR merge
- Clear error messages identify violations
- Local tooling matches CI configuration","To Do","High","ci-cd infrastructure devops code-quality mvp"
"347","346","Sub-task","US-21.1: Configure ESLint rules (.eslintrc.js)","Configure ESLint rules (.eslintrc.js)","","To Do","High","ci-cd infrastructure devops code-quality mvp"
